_date,total_views,unique_views
2024-03-06,9,5
2024-03-07,14,5
2024-03-08,14,8
2024-03-10,1,1
2024-03-11,32,5
2024-03-12,26,6
2024-03-13,13,7
2024-03-14,67,9
2024-03-15,1,1
2024-03-16,2,2
2024-03-17,4,3
2024-03-18,23,7
2024-03-19,55,7
2024-03-20,32,8
2024-03-21,28,9
2024-03-22,27,7
2024-03-23,3,1
2024-03-24,81,3
2024-03-25,14,8
2024-03-26,14,6
2024-03-27,15,3
2024-03-28,4,4
2024-03-29,2,2
2024-03-30,8,4
2024-04-01,54,3
2024-04-02,25,8
2024-04-03,3,3
2024-04-04,9,7
2024-04-05,9,4
2024-04-06,35,3
2024-04-07,33,4
2024-04-08,2,2
2024-04-09,90,10
2024-04-10,70,9
2024-04-11,14,6
2024-04-12,25,4
2024-04-13,7,3
2024-04-14,22,4
2024-04-15,22,6
2024-04-16,81,8
2024-04-17,3,3
2024-04-18,4,3
2024-04-19,4,3
2024-04-20,4,1
2024-04-22,43,3
2024-04-23,28,6
2024-04-24,10,5
2024-04-25,19,4
2024-04-26,39,7
2024-04-29,13,4
2024-04-30,12,8
2024-05-01,4,2
2024-05-02,12,5
2024-05-03,20,1
2024-05-04,3,2
2024-05-05,1,1
2024-05-06,3,3
2024-05-07,13,2
2024-05-08,2,2
2024-05-09,8,4
2024-05-10,128,8
2024-05-11,13,2
2024-05-12,1,1
2024-05-13,77,7
2024-05-14,189,8
2024-05-15,94,11
2024-05-16,65,5
2024-05-17,27,3
2024-05-18,42,4
2024-05-19,15,1
2024-05-20,51,6
2024-05-21,12,7
2024-05-22,25,3
2024-05-23,22,5
2024-05-24,4,4
2024-05-26,28,5
2024-05-27,16,4
2024-05-28,99,11
2024-05-29,21,6
2024-05-30,33,4
2024-05-31,66,4
2024-06-01,39,2
2024-06-02,2,2
2024-06-03,7,3
2024-06-04,4,3
2024-06-05,19,5
2024-06-06,22,4
2024-06-07,5,2
2024-06-09,1,1
2024-06-10,23,7
2024-06-11,32,7
2024-06-12,3,2
2024-06-13,26,5
2024-06-14,14,7
2024-06-15,8,4
2024-06-16,7,1
2024-06-17,29,8
2024-06-18,30,5
2024-06-19,67,7
2024-06-20,20,8
2024-06-21,12,7
2024-06-23,2,2
2024-06-24,42,12
2024-06-25,12,4
2024-06-26,17,9
2024-06-27,16,6
2024-06-28,30,9
2024-06-30,14,1
2024-07-01,69,8
2024-07-02,11,5
2024-07-03,9,4
2024-07-04,19,5
2024-07-05,4,3
2024-07-06,29,1
2024-07-08,32,7
2024-07-09,89,3
2024-07-10,4,4
2024-07-11,4,3
2024-07-12,4,3
2024-07-13,3,1
2024-07-14,5,1
2024-07-15,19,6
2024-07-16,12,4
2024-07-17,148,4
2024-07-18,86,7
2024-07-19,13,4
2024-07-21,1,1
2024-07-22,1,1
2024-07-23,17,5
2024-07-24,15,12
